train_loss,epoch,step,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc
0.08344612270593643,0,49,,,,,,,,,,,,
,0,73,0.1469762772321701,0.9521072506904602,0.8908994793891907,0.9631195068359375,0.9193634390830994,0.9794781804084778,,,,,,
0.046556491404771805,1,99,,,,,,,,,,,,
,1,147,0.12362336367368698,0.9578543901443481,0.9015389084815979,0.956308126449585,0.9229370355606079,0.9819794297218323,,,,,,
0.01685776375234127,2,149,,,,,,,,,,,,
0.06266351044178009,2,199,,,,,,,,,,,,
,2,221,0.10810188949108124,0.961685836315155,0.9117560386657715,0.956308126449585,0.9282945394515991,0.9820720553398132,,,,,,
0.036526575684547424,3,249,,,,,,,,,,,,
,3,295,0.10412412136793137,0.9636015295982361,0.9160487055778503,0.9626938104629517,0.9338241815567017,0.9862028956413269,,,,,,
0.007214108947664499,4,299,,,,,,,,,,,,
0.033954180777072906,4,349,,,,,,,,,,,,
,4,369,0.10386394709348679,0.959770143032074,0.9190711975097656,0.9529024362564087,0.9307006597518921,0.9838138818740845,,,,,,
0.01455426774919033,5,399,,,,,,,,,,,,
,5,443,0.1073203980922699,0.959770143032074,0.931241512298584,0.9304247498512268,0.9259861707687378,0.9854001998901367,,,,,,
0.006173956673592329,6,449,,,,,,,,,,,,
0.02066207304596901,6,499,,,,,,,,,,,,
,6,517,0.10515252500772476,0.959770143032074,0.9246441721916199,0.9494967460632324,0.9317652583122253,0.9878593683242798,,,,,,
0.007893781177699566,7,549,,,,,,,,,,,,
,7,591,0.10587197542190552,0.9636015295982361,0.9351580739021301,0.9494967460632324,0.9381666779518127,0.9875105023384094,,,,,,
0.007009345572441816,8,599,,,,,,,,,,,,
0.005565650295466185,8,649,,,,,,,,,,,,
,8,665,0.10769934952259064,0.959770143032074,0.930164098739624,0.9494967460632324,0.9349764585494995,0.9870589375495911,,,,,,
0.003595345886424184,9,699,,,,,,,,,,,,
,9,739,0.10813956707715988,0.9636015295982361,0.9322389364242554,0.9558824300765991,0.9399546980857849,0.9872492551803589,,,,,,
,10,740,,,,,,,0.1031188815832138,0.9599999785423279,0.8984023928642273,0.9571235775947571,0.9199131727218628,0.9917135238647461
,0,73,0.13493148982524872,0.9559386968612671,0.8830926418304443,0.9863772392272949,0.9263132214546204,0.9859920740127563,,,,,,
0.28323301672935486,0,73,,,,,,,,,,,,
,1,147,0.10126655548810959,0.9636015295982361,0.9136313199996948,0.9632776379585266,0.9292392730712891,0.9882991313934326,,,,,,
0.09020738303661346,1,147,,,,,,,,,,,,
,2,221,0.1069338470697403,0.9578543901443481,0.9244744181632996,0.9372361898422241,0.9265774488449097,0.9870715141296387,,,,,,
0.04099588468670845,2,221,,,,,,,,,,,,
,3,295,0.11267869919538498,0.9655172228813171,0.9335954189300537,0.9685686826705933,0.9464110732078552,0.9882281422615051,,,,,,
0.016436288133263588,3,295,,,,,,,,,,,,
,4,369,0.1214025467634201,0.9636015295982361,0.9236694574356079,0.978360116481781,0.9451897740364075,0.9898992776870728,,,,,,
0.006462958641350269,4,369,,,,,,,,,,,,
,5,443,0.1314874142408371,0.9559386968612671,0.907978892326355,0.9719743728637695,0.9321684837341309,0.9905444383621216,,,,,,
0.00405650120228529,5,443,,,,,,,,,,,,
,6,517,0.12962113320827484,0.959770143032074,0.9236694574356079,0.9685686826705933,0.9395037889480591,0.9898992776870728,,,,,,
0.002875971607863903,6,517,,,,,,,,,,,,
,7,591,0.13254430890083313,0.961685836315155,0.9236694574356079,0.9719743728637695,0.9413583874702454,0.9893418550491333,,,,,,
0.0020667118951678276,7,591,,,,,,,,,,,,
,8,665,0.1344510018825531,0.9578543901443481,0.9229883551597595,0.9617573022842407,0.9359188675880432,0.9887846112251282,,,,,,
0.0014234877889975905,8,665,,,,,,,,,,,,
,9,739,0.1483008861541748,0.959770143032074,0.9181960225105286,0.9719743728637695,0.9374287128448486,0.9876853823661804,,,,,,
0.0005341108189895749,9,739,,,,,,,,,,,,
,10,813,0.14988857507705688,0.959770143032074,0.9181960225105286,0.9719743728637695,0.9374287128448486,0.9884710311889648,,,,,,
0.00031446083448827267,10,813,,,,,,,,,,,,
,11,887,0.15120850503444672,0.959770143032074,0.9249095916748047,0.9617573022842407,0.9370198249816895,0.9887496829032898,,,,,,
0.00023157696705311537,11,887,,,,,,,,,,,,
,12,961,0.16404558718204498,0.9578543901443481,0.9229883551597595,0.9617573022842407,0.9359188675880432,0.9877031445503235,,,,,,
0.00014823225501459092,12,961,,,,,,,,,,,,
,13,1035,0.17541031539440155,0.9578543901443481,0.9194360375404358,0.9617573022842407,0.9330902099609375,0.987128496170044,,,,,,
7.485301466658711e-05,13,1035,,,,,,,,,,,,
,14,1109,0.18169604241847992,0.959770143032074,0.9249095916748047,0.9617573022842407,0.9370198249816895,0.9871459007263184,,,,,,
4.4607382733374834e-05,14,1109,,,,,,,,,,,,
,15,1183,0.18797612190246582,0.959770143032074,0.9194360375404358,0.965162992477417,0.934944748878479,0.986571192741394,,,,,,
3.085131902480498e-05,15,1183,,,,,,,,,,,,
,16,1257,0.1916801929473877,0.959770143032074,0.9249095916748047,0.9617573022842407,0.9370198249816895,0.9871634244918823,,,,,,
2.3636823243577965e-05,16,1257,,,,,,,,,,,,
,17,1258,,,,,,,0.09880572557449341,0.9642105102539062,0.9221993684768677,0.9436498880386353,0.9231372475624084,0.9922884702682495
0.26317137479782104,0,49,,,,,,,,,,,,
,0,73,0.23391498625278473,0.9329501986503601,0.8877947926521301,0.9034022688865662,0.8862507939338684,0.9704856872558594,,,,,,
0.14711801707744598,1,99,,,,,,,,,,,,
,1,147,0.16319546103477478,0.946360170841217,0.8695446848869324,0.9631195068359375,0.9079039096832275,0.9789327383041382,,,,,,
0.12095316499471664,2,149,,,,,,,,,,,,
0.08486022055149078,2,199,,,,,,,,,,,,
,2,221,0.13536013662815094,0.9559386968612671,0.899307131767273,0.936555027961731,0.9143718481063843,0.9820634722709656,,,,,,
0.06181909888982773,3,249,,,,,,,,,,,,
,3,295,0.11954896152019501,0.961685836315155,0.9052078127861023,0.9631195068359375,0.9277568459510803,0.9856911301612854,,,,,,
0.05568033084273338,4,299,,,,,,,,,,,,
0.02488069050014019,4,349,,,,,,,,,,,,
,4,369,0.11745952814817429,0.9578543901443481,0.8915849328041077,0.9753800630569458,0.9258815050125122,0.9869107604026794,,,,,,
0.03357350826263428,5,399,,,,,,,,,,,,
,5,443,0.1097811609506607,0.961685836315155,0.9004398584365845,0.9753800630569458,0.9308383464813232,0.9872069358825684,,,,,,
0.023239050060510635,6,449,,,,,,,,,,,,
0.014512651599943638,6,499,,,,,,,,,,,,
,6,517,0.10802885890007019,0.961685836315155,0.9051763415336609,0.9753800630569458,0.9332975745201111,0.9857437014579773,,,,,,
0.01994321495294571,7,549,,,,,,,,,,,,
,7,591,0.10662008821964264,0.9655172228813171,0.914914071559906,0.9753800630569458,0.938531219959259,0.9857611656188965,,,,,,
0.01888887956738472,8,599,,,,,,,,,,,,
0.01482577994465828,8,649,,,,,,,,,,,,
,8,665,0.10616051405668259,0.961685836315155,0.9051763415336609,0.9753800630569458,0.9332975745201111,0.9875380992889404,,,,,,
0.009849290363490582,9,699,,,,,,,,,,,,
,9,739,0.10486558824777603,0.9655172228813171,0.914914071559906,0.9753800630569458,0.938531219959259,0.9872594475746155,,,,,,
0.011886680498719215,10,749,,,,,,,,,,,,
0.008449063636362553,10,799,,,,,,,,,,,,
,10,813,0.11139046400785446,0.959770143032074,0.9032551646232605,0.9753800630569458,0.9321966767311096,0.9872594475746155,,,,,,
0.008461411111056805,11,849,,,,,,,,,,,,
,11,887,0.10806886851787567,0.961685836315155,0.9139338731765747,0.9719743728637695,0.9355880618095398,0.9875555038452148,,,,,,
0.002683197148144245,12,899,,,,,,,,,,,,
0.009739931672811508,12,949,,,,,,,,,,,,
,12,961,0.10936343669891357,0.9636015295982361,0.9215967059135437,0.9719743728637695,0.9396748542785645,0.9879465103149414,,,,,,
0.007529984228312969,13,999,,,,,,,,,,,,
,13,1035,0.10654588043689728,0.967432975769043,0.9321853518486023,0.9719743728637695,0.9454978704452515,0.9885388612747192,,,,,,
0.0028563898522406816,14,1049,,,,,,,,,,,,
0.0022859880700707436,14,1099,,,,,,,,,,,,
,14,1109,0.11003994941711426,0.9655172228813171,0.926612377166748,0.9719743728637695,0.9425787329673767,0.9885213971138,,,,,,
0.005954029504209757,15,1149,,,,,,,,,,,,
,15,1183,0.11340217292308807,0.9655172228813171,0.926612377166748,0.9719743728637695,0.9425787329673767,0.9885038733482361,,,,,,
