train_loss,epoch,step,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc
0.18491455912590027,0,49,,,,,,,,,,,,
,0,73,0.17221158742904663,0.9214559197425842,0.9254522919654846,0.8004623651504517,0.8462604880332947,0.9726649522781372,,,,,,
0.10528683662414551,1,99,,,,,,,,,,,,
,1,147,0.13174231350421906,0.9501915574073792,0.8975692391395569,0.9195857644081116,0.9012696146965027,0.9788543581962585,,,,,,
0.08091066032648087,2,149,,,,,,,,,,,,
0.10279209166765213,2,199,,,,,,,,,,,,
,2,221,0.11218471080064774,0.959770143032074,0.9265767931938171,0.9440475702285767,0.928300142288208,0.9896834492683411,,,,,,
0.04790746048092842,3,249,,,,,,,,,,,,
,3,295,0.12419993430376053,0.9578543901443481,0.9042032957077026,0.9685686826705933,0.9311569333076477,0.9859439134597778,,,,,,
0.077721007168293,4,299,,,,,,,,,,,,
0.019931385293602943,4,349,,,,,,,,,,,,
,4,369,0.11540371924638748,0.9559386968612671,0.9525761604309082,0.8979457020759583,0.9176744818687439,0.9865875840187073,,,,,,
0.014924529008567333,5,399,,,,,,,,,,,,
,5,443,0.11448439210653305,0.959770143032074,0.9744889140129089,0.9060221910476685,0.9316301345825195,0.9909026026725769,,,,,,
0.011723104864358902,6,449,,,,,,,,,,,,
0.005284443031996489,6,499,,,,,,,,,,,,
,6,517,0.11756407469511032,0.9578543901443481,0.9525761604309082,0.9067032337188721,0.9223901033401489,0.9892038106918335,,,,,,
0.00924639031291008,7,549,,,,,,,,,,,,
,7,591,0.12229958176612854,0.954023003578186,0.9391160607337952,0.912833571434021,0.9177898168563843,0.9885573387145996,,,,,,
,8,592,,,,,,,0.11819668859243393,0.9536842107772827,0.8843897581100464,0.9526323676109314,0.9101694822311401,0.9867087006568909
,0,73,0.12217019498348236,0.9501915574073792,0.8710024356842041,0.959557294845581,0.9079588651657104,0.9883913993835449,,,,,,
0.2615021765232086,0,73,,,,,,,,,,,,
,1,147,0.11102352291345596,0.9559386968612671,0.8788660764694214,0.9870583415031433,0.9234541654586792,0.9902072548866272,,,,,,
0.09025126695632935,1,147,,,,,,,,,,,,
,2,221,0.10107898712158203,0.9578543901443481,0.9076545834541321,0.9433664083480835,0.9197399616241455,0.9862661361694336,,,,,,
0.04870658367872238,2,221,,,,,,,,,,,,
,3,295,0.10838375240564346,0.961685836315155,0.9426477551460266,0.9338896870613098,0.9339835047721863,0.9860471487045288,,,,,,
0.01888970099389553,3,295,,,,,,,,,,,,
,4,369,0.1416321098804474,0.9501915574073792,0.8662554621696472,0.9844311475753784,0.9149261116981506,0.9885568618774414,,,,,,
0.008456775918602943,4,369,,,,,,,,,,,,
,5,443,0.12069831788539886,0.959770143032074,0.9188615679740906,0.9494967460632324,0.9300889372825623,0.990331768989563,,,,,,
0.00425509549677372,5,443,,,,,,,,,,,,
,6,517,0.12072596698999405,0.9655172228813171,0.9206038117408752,0.9623791575431824,0.936587393283844,0.9910839796066284,,,,,,
0.003018728457391262,6,517,,,,,,,,,,,,
