val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss,epoch,step,train_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_loss
0.9521072506904602,0.8801147937774658,0.9780454039573669,0.9193042516708374,0.9830586314201355,0.12296205759048462,0,73,,,,,,,
,,,,,,0,73,0.2637392580509186,,,,,,
0.954023003578186,0.8734471201896667,0.991242527961731,0.9242492318153381,0.9835619926452637,0.11877956241369247,1,147,,,,,,,
,,,,,,1,147,0.09228245913982391,,,,,,
0.9444444179534912,0.8579264879226685,0.9810254573822021,0.9085034728050232,0.988883912563324,0.1258051097393036,2,221,,,,,,,
,,,,,,2,221,0.04233919084072113,,,,,,
0.946360170841217,0.8587074875831604,0.9844311475753784,0.9107027053833008,0.9869181513786316,0.1591486781835556,3,295,,,,,,,
,,,,,,3,295,0.016637733206152916,,,,,,
0.969348669052124,0.9440128803253174,0.965162992477417,0.9499140977859497,0.9911082983016968,0.09785977751016617,4,369,,,,,,,
,,,,,,4,369,0.007663140073418617,,,,,,
0.9636015295982361,0.9211151599884033,0.978360116481781,0.9433035254478455,0.99253910779953,0.10593332350254059,5,443,,,,,,,
,,,,,,5,443,0.0038262924645096064,,,,,,
0.961685836315155,0.9211151599884033,0.9719743728637695,0.9394721388816833,0.9915383458137512,0.11866657435894012,6,517,,,,,,,
,,,,,,6,517,0.002628407906740904,,,,,,
0.959770143032074,0.9046947956085205,0.978360116481781,0.9351747632026672,0.9898292422294617,0.1359952986240387,7,591,,,,,,,
,,,,,,7,591,0.000598417071159929,,,,,,
0.961685836315155,0.9211151599884033,0.9719743728637695,0.9394721388816833,0.9898292422294617,0.13416118919849396,8,665,,,,,,,
,,,,,,8,665,0.000401504774345085,,,,,,
0.961685836315155,0.9211151599884033,0.9719743728637695,0.9394721388816833,0.9904215931892395,0.1377640813589096,9,739,,,,,,,
,,,,,,9,739,0.0002747491525951773,,,,,,
,,,,,,10,740,,0.9621052742004395,0.9070402979850769,0.9496382474899292,0.9219765067100525,0.9920753240585327,0.15932981669902802
