train_loss,epoch,step,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc
0.1993691474199295,0,49,,,,,,,,,,,,
,0,73,0.1414765566587448,0.9578543901443481,0.9023154973983765,0.9543238878250122,0.922547459602356,0.9799752831459045,,,,,,
0.14982788264751434,1,99,,,,,,,,,,,,
,1,147,0.10900679975748062,0.961685836315155,0.915981650352478,0.9501778483390808,0.9281042218208313,0.9848693609237671,,,,,,
0.03283461928367615,2,149,,,,,,,,,,,,
0.03622209280729294,2,199,,,,,,,,,,,,
,2,221,0.11564957350492477,0.9578543901443481,0.8954042196273804,0.9753800630569458,0.9281957149505615,0.986038863658905,,,,,,
0.015430908650159836,3,249,,,,,,,,,,,,
,3,295,0.09360387176275253,0.961685836315155,0.9340001344680786,0.9434256553649902,0.9346014261245728,0.9900816679000854,,,,,,
0.021480970084667206,4,299,,,,,,,,,,,,
0.026773998513817787,4,349,,,,,,,,,,,,
,4,369,0.11852393299341202,0.959770143032074,0.8965405225753784,0.9817658066749573,0.9320633411407471,0.9860737919807434,,,,,,
0.014092990197241306,5,399,,,,,,,,,,,,
,5,443,0.1019350066781044,0.961685836315155,0.9562556743621826,0.9209480285644531,0.9294302463531494,0.9890002012252808,,,,,,
0.003153713885694742,6,449,,,,,,,,,,,,
0.006931279320269823,6,499,,,,,,,,,,,,
,6,517,0.10080258548259735,0.9655172228813171,0.9533365368843079,0.9434256553649902,0.942353367805481,0.9892282485961914,,,,,,
0.005181640386581421,7,549,,,,,,,,,,,,
,7,591,0.10613757371902466,0.9636015295982361,0.9647699594497681,0.9332085847854614,0.9430959820747375,0.9900314211845398,,,,,,
0.007634961977601051,8,599,,,,,,,,,,,,
0.004124428611248732,8,649,,,,,,,,,,,,
,8,665,0.10860775411128998,0.9636015295982361,0.9303723573684692,0.9502370953559875,0.9361929893493652,0.9904307126998901,,,,,,
,9,666,,,,,,,0.10273610055446625,0.9515789747238159,0.8935636878013611,0.9383381605148315,0.9071497321128845,0.9921579957008362
,0,73,0.1303493231534958,0.9559386968612671,0.8782472610473633,0.9931886196136475,0.9262863397598267,0.9852257370948792,,,,,,
0.2912623882293701,0,73,,,,,,,,,,,,
,1,147,0.1015966385602951,0.961685836315155,0.9112136960029602,0.9624384045600891,0.9311857223510742,0.9863551259040833,,,,,,
0.09501247107982635,1,147,,,,,,,,,,,,
,2,221,0.08943392336368561,0.967432975769043,0.9355207681655884,0.9719743728637695,0.9482656121253967,0.9917837381362915,,,,,,
0.04650423303246498,2,221,,,,,,,,,,,,
,3,295,0.1032610610127449,0.9655172228813171,0.9152849316596985,0.9810254573822021,0.9416759610176086,0.9903687238693237,,,,,,
0.018207285553216934,3,295,,,,,,,,,,,,
,4,369,0.12184738367795944,0.9521072506904602,0.885839581489563,0.9719743728637695,0.919217586517334,0.9922164082527161,,,,,,
0.007526392117142677,4,369,,,,,,,,,,,,
,5,443,0.11371456831693649,0.967432975769043,0.9328669309616089,0.9719743728637695,0.9473898410797119,0.9907001852989197,,,,,,
0.005194302182644606,5,443,,,,,,,,,,,,
,6,517,0.11440333724021912,0.969348669052124,0.9384399056434631,0.9719743728637695,0.9503090381622314,0.9913454055786133,,,,,,
0.0033637001179158688,6,517,,,,,,,,,,,,
,7,591,0.11620259284973145,0.969348669052124,0.9427744746208191,0.965162992477417,0.9496279358863831,0.9918169379234314,,,,,,
0.002687067026272416,7,591,,,,,,,,,,,,
,8,665,0.11865726113319397,0.969348669052124,0.9427744746208191,0.965162992477417,0.9496279358863831,0.9921131134033203,,,,,,
0.0020399868953973055,8,665,,,,,,,,,,,,
,9,739,0.13786020874977112,0.959770143032074,0.9148610830307007,0.9719743728637695,0.9358813762664795,0.9904412031173706,,,,,,
0.0019358932040631771,9,739,,,,,,,,,,,,
,10,813,0.14121100306510925,0.961685836315155,0.9215729832649231,0.9719743728637695,0.9404979348182678,0.9909281134605408,,,,,,
0.00036981614539399743,10,813,,,,,,,,,,,,
,11,887,0.13909627497196198,0.9655172228813171,0.9344438314437866,0.9719743728637695,0.9480612277984619,0.991206705570221,,,,,,
0.0002501217823009938,11,887,,,,,,,,,,,,
,12,961,0.1425645798444748,0.9636015295982361,0.9271459579467773,0.9719743728637695,0.9434170722961426,0.991206705570221,,,,,,
0.00018736212223302573,12,961,,,,,,,,,,,,
,13,1035,0.14485657215118408,0.9655172228813171,0.9344438314437866,0.9719743728637695,0.9480612277984619,0.991206705570221,,,,,,
0.00014651287347078323,13,1035,,,,,,,,,,,,
,14,1109,0.14740562438964844,0.9655172228813171,0.9344438314437866,0.9719743728637695,0.9480612277984619,0.991206705570221,,,,,,
0.00011962746066274121,14,1109,,,,,,,,,,,,
,15,1183,0.15268073976039886,0.961685836315155,0.9215729832649231,0.9719743728637695,0.9404979348182678,0.991206705570221,,,,,,
9.907684579957277e-05,15,1183,,,,,,,,,,,,
,16,1257,0.15473291277885437,0.961685836315155,0.9215729832649231,0.9719743728637695,0.9404979348182678,0.9914854764938354,,,,,,
8.452351903542876e-05,16,1257,,,,,,,,,,,,
,17,1331,0.15620110929012299,0.961685836315155,0.9215729832649231,0.9719743728637695,0.9404979348182678,0.9912421703338623,,,,,,
7.164566341089085e-05,17,1331,,,,,,,,,,,,
,18,1332,,,,,,,0.08964841067790985,0.9599999785423279,0.9225457310676575,0.9258001446723938,0.916907548904419,0.9938663244247437
0.2976548969745636,0,49,,,,,,,,,,,,
,0,73,0.22632913291454315,0.9233716726303101,0.8456100225448608,0.9207338690757751,0.8716950416564941,0.9642683863639832,,,,,,
0.1565467119216919,1,99,,,,,,,,,,,,
,1,147,0.1559658795595169,0.946360170841217,0.8791311383247375,0.9536427855491638,0.9085018038749695,0.9779149293899536,,,,,,
0.10986656695604324,2,149,,,,,,,,,,,,
0.05298881232738495,2,199,,,,,,,,,,,,
,2,221,0.12714150547981262,0.961685836315155,0.9075543284416199,0.9631195068359375,0.9290191531181335,0.9831039309501648,,,,,,
0.07675966620445251,3,249,,,,,,,,,,,,
,3,295,0.1153121292591095,0.961685836315155,0.9042126536369324,0.9631195068359375,0.9271729588508606,0.9890331029891968,,,,,,
0.04425377398729324,4,299,,,,,,,,,,,,
0.04981260001659393,4,349,,,,,,,,,,,,
,4,369,0.10964608937501907,0.9636015295982361,0.9107807278633118,0.9631195068359375,0.9306759834289551,0.9862802028656006,,,,,,
0.011958143673837185,5,399,,,,,,,,,,,,
,5,443,0.11031270772218704,0.959770143032074,0.9046504497528076,0.9631195068359375,0.9274495244026184,0.9870305061340332,,,,,,
0.018470192328095436,6,449,,,,,,,,,,,,
0.04095885157585144,6,499,,,,,,,,,,,,
,6,517,0.10803516954183578,0.961685836315155,0.9087058305740356,0.9631195068359375,0.9295291900634766,0.9853917956352234,,,,,,
0.007042639423161745,7,549,,,,,,,,,,,,
,7,591,0.10536157339811325,0.959770143032074,0.9009861946105957,0.9631195068359375,0.9255161285400391,0.9872234463691711,,,,,,
0.013124903663992882,8,599,,,,,,,,,,,,
0.006235538981854916,8,649,,,,,,,,,,,,
,8,665,0.1055041179060936,0.961685836315155,0.9075543284416199,0.9631195068359375,0.9290191531181335,0.9876577854156494,,,,,,
0.014523712918162346,9,699,,,,,,,,,,,,
,9,739,0.1054643765091896,0.9636015295982361,0.9107807278633118,0.9631195068359375,0.9306759834289551,0.9894368052482605,,,,,,
0.004295872524380684,10,749,,,,,,,,,,,,
0.008249511010944843,10,799,,,,,,,,,,,,
,10,813,0.10863014310598373,0.961685836315155,0.9075543284416199,0.9631195068359375,0.9290191531181335,0.9889827966690063,,,,,,
0.014333682134747505,11,849,,,,,,,,,,,,
,11,887,0.1104581356048584,0.9636015295982361,0.9107807278633118,0.9631195068359375,0.9306759834289551,0.9888248443603516,,,,,,
0.011290987022221088,12,899,,,,,,,,,,,,
0.007296939380466938,12,949,,,,,,,,,,,,
,12,961,0.11019369214773178,0.9655172228813171,0.9199761748313904,0.9631195068359375,0.9372441172599792,0.9890003204345703,,,,,,
0.0032105352729558945,13,999,,,,,,,,,,,,
,13,1035,0.11129896342754364,0.9655172228813171,0.9199761748313904,0.9631195068359375,0.9372441172599792,0.9892789721488953,,,,,,
0.0020966380834579468,14,1049,,,,,,,,,,,,
0.0029793588910251856,14,1099,,,,,,,,,,,,
,14,1109,0.11466733366250992,0.9636015295982361,0.9078372120857239,0.9657848477363586,0.9303745031356812,0.9888248443603516,,,,,,
0.004181263968348503,15,1149,,,,,,,,,,,,
,15,1183,0.11401678621768951,0.9655172228813171,0.9199761748313904,0.9631195068359375,0.9372441172599792,0.9890003204345703,,,,,,
0.0027872384525835514,16,1199,,,,,,,,,,,,
0.0027211157139390707,16,1249,,,,,,,,,,,,
,16,1257,0.11547531932592392,0.967432975769043,0.9202591180801392,0.9657848477363586,0.9385995268821716,0.9890003204345703,,,,,,
0.0016263140132650733,17,1299,,,,,,,,,,,,
,17,1331,0.11672261357307434,0.967432975769043,0.9202591180801392,0.9657848477363586,0.9385995268821716,0.9888248443603516,,,,,,
0.012772142887115479,18,1349,,,,,,,,,,,,
0.03940549120306969,18,1399,,,,,,,,,,,,
,18,1405,0.1172533854842186,0.967432975769043,0.9202591180801392,0.9657848477363586,0.9385995268821716,0.9900116324424744,,,,,,
0.0029809626284986734,19,1449,,,,,,,,,,,,
,19,1479,0.11827216297388077,0.967432975769043,0.9202591180801392,0.9657848477363586,0.9385995268821716,0.9900116324424744,,,,,,
0.002464351477101445,20,1499,,,,,,,,,,,,
0.004097367636859417,20,1549,,,,,,,,,,,,
,20,1553,0.12077299505472183,0.967432975769043,0.9202591180801392,0.9657848477363586,0.9385995268821716,0.9900116324424744,,,,,,
0.0009574071737006307,21,1599,,,,,,,,,,,,
,21,1627,0.11973370611667633,0.967432975769043,0.9202591180801392,0.9657848477363586,0.9385995268821716,0.9900116324424744,,,,,,
0.0022568046115338802,22,1649,,,,,,,,,,,,
0.0008820238872431219,22,1699,,,,,,,,,,,,
