train_loss,epoch,step,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_loss
0.1729753464460373,0,49,,,,,,,,,,,,
,0,73,0.954023003578186,0.8901563882827759,0.956308126449585,0.9167913794517517,0.9789045453071594,0.13803212344646454,,,,,,
0.1131463497877121,1,99,,,,,,,,,,,,
,1,147,0.9521072506904602,0.8697438836097717,0.9870583415031433,0.9189760088920593,0.9865798950195312,0.12982997298240662,,,,,,
0.1850193589925766,2,149,,,,,,,,,,,,
0.07115574181079865,2,199,,,,,,,,,,,,
,2,221,0.9636015295982361,0.9172051548957825,0.956308126449585,0.9311625957489014,0.9888947606086731,0.09841237217187881,,,,,,
0.015644613653421402,3,249,,,,,,,,,,,,
,3,295,0.959770143032074,0.9783511757850647,0.8792403340339661,0.9165179133415222,0.991788923740387,0.12204799801111221,,,,,,
0.046892959624528885,4,299,,,,,,,,,,,,
0.013433144427835941,4,349,,,,,,,,,,,,
,4,369,0.9578543901443481,0.8879594206809998,0.9844311475753784,0.9287256598472595,0.9901276230812073,0.13695630431175232,,,,,,
0.004764918237924576,5,399,,,,,,,,,,,,
,5,443,0.9636015295982361,0.9304825067520142,0.9529024362564087,0.937335193157196,0.9896359443664551,0.12121646851301193,,,,,,
0.0019370714435353875,6,449,,,,,,,,,,,,
0.001127911382354796,6,499,,,,,,,,,,,,
,6,517,0.9578543901443481,0.9235621690750122,0.9433664679527283,0.9294519424438477,0.9882934093475342,0.1299438774585724,,,,,,
0.0004599203239195049,7,549,,,,,,,,,,,,
,7,591,0.9712643623352051,0.9462606310844421,0.965162992477417,0.9511096477508545,0.9897938966751099,0.12995922565460205,,,,,,
8.219568553613499e-05,8,599,,,,,,,,,,,,
0.0011162924347445369,8,649,,,,,,,,,,,,
,8,665,0.9712643623352051,0.9462606310844421,0.965162992477417,0.9511096477508545,0.989201545715332,0.1350080817937851,,,,,,
0.0004709006752818823,9,699,,,,,,,,,,,,
,9,739,0.967432975769043,0.941938042640686,0.965162992477417,0.9487673044204712,0.9897938966751099,0.13884738087654114,,,,,,
,10,740,,,,,,,0.9578947424888611,0.9141246676445007,0.9308527708053589,0.9159718751907349,0.9911789298057556,0.14456890523433685
