train_loss,epoch,step,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc
0.13961786031723022,0,49,,,,,,,,,,,,
,0,73,0.1638186126947403,0.9176245331764221,0.8063681721687317,0.9431661367416382,0.8544713854789734,0.9730895757675171,,,,,,
0.14373864233493805,1,99,,,,,,,,,,,,
,1,147,0.13857313990592957,0.9214559197425842,0.8063524961471558,0.9597138166427612,0.8623063564300537,0.9840888977050781,,,,,,
0.10502321273088455,2,149,,,,,,,,,,,,
0.021459637209773064,2,199,,,,,,,,,,,,
,2,221,0.12794744968414307,0.9233716726303101,0.8114580512046814,0.9535835385322571,0.8624159097671509,0.9838336110115051,,,,,,
0.07238701730966568,3,249,,,,,,,,,,,,
,3,295,0.12479004263877869,0.9252873659133911,0.8059940338134766,0.9631195068359375,0.863670825958252,0.9870933890342712,,,,,,
0.06511270999908447,4,299,,,,,,,,,,,,
0.1822671741247177,4,349,,,,,,,,,,,,
,4,369,0.130374476313591,0.9272030591964722,0.8163105845451355,0.9753800630569458,0.872729480266571,0.985902726650238,,,,,,
0.044575709849596024,5,399,,,,,,,,,,,,
,5,443,0.12675757706165314,0.9348658919334412,0.8515502214431763,0.956308126449585,0.88704514503479,0.9842442870140076,,,,,,
0.019208624958992004,6,449,,,,,,,,,,,,
0.02654692716896534,6,499,,,,,,,,,,,,
,6,517,0.1093381717801094,0.9655172228813171,0.9446573853492737,0.9454691410064697,0.9414185285568237,0.9911035895347595,,,,,,
0.013965331017971039,7,549,,,,,,,,,,,,
,7,591,0.11125945299863815,0.969348669052124,0.9434555172920227,0.9685686826705933,0.9513583183288574,0.9880345463752747,,,,,,
0.009417437948286533,8,599,,,,,,,,,,,,
0.0048422785475850105,8,649,,,,,,,,,,,,
,8,665,0.11244853585958481,0.969348669052124,0.9515977501869202,0.9685686826705933,0.9557844400405884,0.9889951944351196,,,,,,
0.00643837358802557,9,699,,,,,,,,,,,,
,9,739,0.11335460841655731,0.967432975769043,0.9567200541496277,0.9263971447944641,0.9378414154052734,0.9898660778999329,,,,,,
0.0031269388273358345,10,749,,,,,,,,,,,,
0.018441786989569664,10,799,,,,,,,,,,,,
,10,813,0.11141714453697205,0.969348669052124,0.9618286490440369,0.9468314051628113,0.9495181441307068,0.9886990189552307,,,,,,
0.011029927060008049,11,849,,,,,,,,,,,,
,11,887,0.11996791511774063,0.967432975769043,0.950130820274353,0.92906254529953,0.9360538125038147,0.9895700216293335,,,,,,
,12,888,,,,,,,0.10607073456048965,0.9599999785423279,0.9005513787269592,0.9496382474899292,0.9186465740203857,0.9914828538894653
