val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss,epoch,step,train_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_loss
0.954023003578186,0.896228551864624,0.9501778483390808,0.9172149300575256,0.9818944334983826,0.12385157495737076,0,73,,,,,,,
,,,,,,0,73,0.22352975606918335,,,,,,
0.9425287246704102,0.9515151977539062,0.8443610072135925,0.886142373085022,0.9885542988777161,0.12805598974227905,1,147,,,,,,,
,,,,,,1,147,0.10534852743148804,,,,,,
0.9578543901443481,0.8803614377975464,0.9936143159866333,0.9283404350280762,0.9907078146934509,0.12450413405895233,2,221,,,,,,,
,,,,,,2,221,0.08044824749231339,,,,,,
0.967432975769043,0.9328403472900391,0.9643253087997437,0.9436271786689758,0.9933420419692993,0.0989360362291336,3,295,,,,,,,
,,,,,,3,295,0.06292011588811874,,,,,,
0.9636015295982361,0.9310315847396851,0.9555677771568298,0.9380336403846741,0.9919636845588684,0.10289440304040909,4,369,,,,,,,
,,,,,,4,369,0.04834120348095894,,,,,,
0.9655172228813171,0.9366044998168945,0.9555677771568298,0.9409528374671936,0.9925413131713867,0.096816785633564,5,443,,,,,,,
,,,,,,5,443,0.03650824725627899,,,,,,
0.9636015295982361,0.957793653011322,0.9315908551216125,0.9358996152877808,0.9930130243301392,0.09824288636445999,6,517,,,,,,,
,,,,,,6,517,0.031442709267139435,,,,,,
0.9636015295982361,0.9310315847396851,0.9555677771568298,0.9380336403846741,0.9916529059410095,0.10416620969772339,7,591,,,,,,,
,,,,,,7,591,0.024308960884809494,,,,,,
0.9636015295982361,0.9337958097457886,0.9529024362564087,0.9382430911064148,0.9921069145202637,0.10014154762029648,8,665,,,,,,,
,,,,,,8,665,0.021521568298339844,,,,,,
0.9655172228813171,0.9491214752197266,0.9529024362564087,0.9470006823539734,0.9924381971359253,0.10075321048498154,9,739,,,,,,,
,,,,,,9,739,0.01722230389714241,,,,,,
,,,,,,10,740,,0.972631573677063,0.9464204907417297,0.9436498880386353,0.9381113052368164,0.9958294630050659,0.06876169145107269
