val_accuracy,val_precision,val_recall,val_f1,val_auc,val_loss,epoch,step,train_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_loss
0.954023003578186,0.891425371170044,0.9569892287254333,0.9171450138092041,0.9790002703666687,0.12836498022079468,0,73,,,,,,,
,,,,,,0,73,0.2856951057910919,,,,,,
0.9578543901443481,0.9221118688583374,0.93110591173172,0.9228926301002502,0.9856765270233154,0.10729150474071503,1,147,,,,,,,
,,,,,,1,147,0.08917738497257233,,,,,,
0.9444444179534912,0.8495623469352722,0.9809280633926392,0.9050870537757874,0.9850302338600159,0.15361160039901733,2,221,,,,,,,
,,,,,,2,221,0.037644948810338974,,,,,,
0.9578543901443481,0.8986811637878418,0.978360116481781,0.9313284158706665,0.989445149898529,0.1158498153090477,3,295,,,,,,,
,,,,,,3,295,0.017895333468914032,,,,,,
0.959770143032074,0.9258825778961182,0.9494967460632324,0.932051420211792,0.9884140491485596,0.12251932173967361,4,369,,,,,,,
,,,,,,4,369,0.007263208739459515,,,,,,
0.9636015295982361,0.9302862882614136,0.9719743728637695,0.9456229209899902,0.9915274381637573,0.12100735306739807,5,443,,,,,,,
,,,,,,5,443,0.004191583022475243,,,,,,
0.961685836315155,0.9386416673660278,0.9590919613838196,0.9434618353843689,0.9901849031448364,0.12524931132793427,6,517,,,,,,,
,,,,,,6,517,0.002617022255435586,,,,,,
0.969348669052124,0.9771543145179749,0.9263971447944641,0.9460151195526123,0.9919642806053162,0.12525105476379395,7,591,,,,,,,
,,,,,,7,591,0.0012270455481484532,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9900816679000854,0.1375410556793213,8,665,,,,,,,
,,,,,,8,665,0.0006453207461163402,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9897854924201965,0.14102420210838318,9,739,,,,,,,
,,,,,,9,739,0.0002943927247542888,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9890809059143066,0.14647573232650757,10,813,,,,,,,
,,,,,,10,813,0.00021773450134787709,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9890809059143066,0.1505078822374344,11,887,,,,,,,
,,,,,,11,887,0.0001627097517484799,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9893595576286316,0.15304411947727203,12,961,,,,,,,
,,,,,,12,961,0.00012956011050846428,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9896557331085205,0.15738889575004578,13,1035,,,,,,,
,,,,,,13,1035,0.0001057333720382303,,,,,,
0.959770143032074,0.9318302869796753,0.9590919613838196,0.9398558139801025,0.9896557331085205,0.1595091074705124,14,1109,,,,,,,
,,,,,,14,1109,8.848292782204226e-05,,,,,,
0.961685836315155,0.932207465171814,0.9617573022842407,0.9412633180618286,0.9899519085884094,0.163145512342453,15,1183,,,,,,,
,,,,,,15,1183,7.502962398575619e-05,,,,,,
0.961685836315155,0.933975875377655,0.9590919613838196,0.9409970641136169,0.9899343252182007,0.16383405029773712,16,1257,,,,,,,
,,,,,,16,1257,6.322145054582506e-05,,,,,,
0.961685836315155,0.933975875377655,0.9590919613838196,0.9409970641136169,0.9902305006980896,0.16612021625041962,17,1331,,,,,,,
,,,,,,17,1331,5.421297100838274e-05,,,,,,
0.961685836315155,0.933975875377655,0.9590919613838196,0.9409970641136169,0.9899519085884094,0.16784320771694183,18,1405,,,,,,,
,,,,,,18,1405,4.670848647947423e-05,,,,,,
0.961685836315155,0.933975875377655,0.9590919613838196,0.9409970641136169,0.9902305006980896,0.17032602429389954,19,1479,,,,,,,
,,,,,,19,1479,4.099819852854125e-05,,,,,,
,,,,,,20,1480,,0.9621052742004395,0.9125814437866211,0.9496382474899292,0.9238519668579102,0.9923480749130249,0.16562016308307648
